vendor,avg_discount
NoFrills,1.05024267054697
Voila,1.32851860542005
Loblaws,1.39160301294292
SaveOnFoods,1.60834563953808
Metro,2.60609913660146
TandT,2.61193808484092
Galleria,3.9001238703646
Walmart,6.25702835527311
